======================================================
          DUMPING JIRA DAILY REPORTS
Fri Sep 29 11:44:27 UTC 2017
======================================================
*** Collect from date: 2017-09-28
*** Collect to   date: 2017-09-29
---------------------------
PRTG: retrieving PRTG / HOSTS
API CALL: https://prtg.xtratelecom.es/api/table.xml?username=alvaro.paricio@masmovil.com&passhash=2990680966&count=10000&content=devices&columns=objid,group,host,device,sensor,status,parent,parentid,location,type,name,message&output=csvtable
<Response [200]>
"ID","ID(RAW)","Grupo","Grupo(RAW)","Host","Host(RAW)","Aparato","Aparato(RAW)","Sensor","Sensor(RAW)","Estado","Estado(RAW)","Nodriza","Nodriza(RAW)","ID nodriza","ID nodriza(RAW)","Ubicación","Ubicación(RAW)","Tipo","Tipo(RAW)","Objeto","Objeto(RAW)","Mensaje","Mensaje(RAW)"
"2921","2921","CT ALICANTE","CT ALICANTE","212.230.145.135","212.230.145.135","SERCRESA_GW_02_MOVISTAR","SERCRESA_GW_02_MOVISTAR","","","Disponible","3","","","8663","8663","","Avenida juan Sanchis Candela 13, Alicante","Aparato","device","SERCRESA_GW_02_MOVISTAR","SERCRESA_GW_02_MOVISTAR","","OK"
"29478","29478","Interconexion Jaen (Ono)","Interconexion Jaen (Ono)","212.230.24.173","212.230.24.173","Swi_Jaen_01 Centro Ono Jaen","Swi_Jaen_01 Centro Ono Jaen","","","Pausado (pausado)","7","","","29476","29476","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","Swi_Jaen_01 Centro Ono Jaen","Swi_Jaen_01 Centro Ono Jaen","","[[ No vemos datos en REDMINE. (pausado a las 11/10/2016 8:06:03 por Alejandro Ramos) ]]: Pausado por usuario"
"29507","29507","AXION_MIJAS","AXION_MIJAS","212.230.164.197","212.230.164.197","AGW_MAL_AX_01 Axion Mijas","AGW_MAL_AX_01 Axion Mijas","","","Pausado","8","","","36164","36164","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","AGW_MAL_AX_01 Axion Mijas","AGW_MAL_AX_01 Axion Mijas","","Pausado por dependencia"
"29550","29550","AXION_MIJAS","AXION_MIJAS","212.231.2.213","212.231.2.213","324789_Mayoral","324789_Mayoral","","","Disponible","3","","","36164","36164","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","324789_Mayoral","324789_Mayoral","","OK"
"29920","29920","Cableoperadores prueba asterisk","Cableoperadores prueba asterisk","78.136.121.245","78.136.121.245","215023_TeleCaravaca_Asterisk","215023_TeleCaravaca_Asterisk","","","Disponible","3","","","29919","29919","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","215023_TeleCaravaca_Asterisk","215023_TeleCaravaca_Asterisk","","OK"
"29923","29923","Cableoperadores prueba asterisk","Cableoperadores prueba asterisk","78.136.111.241","78.136.111.241","215023_TeleCaravaca_Server","215023_TeleCaravaca_Server","","","Disponible","3","","","29919","29919","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","215023_TeleCaravaca_Server","215023_TeleCaravaca_Server","","OK"
"30007","30007","SIERRA HELADA Benidorm caseta ayuntamiento","SIERRA HELADA Benidorm caseta ayuntamiento","212.230.164.241","212.230.164.241","331260_Telerent","331260_Telerent","","","Disponible","3","","","41872","41872","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","331260_Telerent","331260_Telerent","","OK"
"30062","30062","KIMIA SOLUTIONS","KIMIA SOLUTIONS","212.230.172.17","212.230.172.17","332509_KIMIA (KIMIA Gran Via)","332509_KIMIA (KIMIA Gran Via)","","","Disponible","3","","","30061","30061","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","332509_KIMIA (KIMIA Gran Via)","332509_KIMIA (KIMIA Gran Via)","","OK"
"3030","3030","CT BILBAO","CT BILBAO","10.97.13.153","10.97.13.153","SERVICO_Bilbao_VPN","SERVICO_Bilbao_VPN","","","Disponible","3","","","8072","8072","","SERVICO","Aparato","device","SERVICO_Bilbao_VPN","SERVICO_Bilbao_VPN","","OK"
"3035","3035","CT BILBAO","CT BILBAO","212.230.52.81","212.230.52.81","SERVICO_Bilbao_VoIP","SERVICO_Bilbao_VoIP","","","Disponible","3","","","8072","8072","","Avenida madariaga, Bilbao","Aparato","device","SERVICO_Bilbao_VoIP","SERVICO_Bilbao_VoIP","","OK"
"30363","30363","AUSTRO FINANCIAL SERVICES","AUSTRO FINANCIAL SERVICES","212.230.172.113","212.230.172.113","AUSTRO_Bravo_Murillo 321186","AUSTRO_Bravo_Murillo 321186","","","Disponible","3","","","30362","30362","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","AUSTRO_Bravo_Murillo 321186","AUSTRO_Bravo_Murillo 321186","","OK"
"30380","30380","AUSTRO FINANCIAL SERVICES","AUSTRO FINANCIAL SERVICES","212.230.50.171","212.230.50.171","Austro_Lorca Cisco ADSL","Austro_Lorca Cisco ADSL","","","Disponible","3","","","30362","30362","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","Austro_Lorca Cisco ADSL","Austro_Lorca Cisco ADSL","","OK"
"30453","30453","BRITISH COUNCIL","BRITISH COUNCIL","212.230.172.165","212.230.172.165","323719_British_Council","323719_British_Council","","","Disponible","3","","","30444","30444","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","323719_British_Council","323719_British_Council","","OK"
"30492","30492","SERVICOMPUT","SERVICOMPUT","212.230.131.89","212.230.131.89","333004_Servicomput","333004_Servicomput","","","Pausado","8","","","30491","30491","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","333004_Servicomput","333004_Servicomput","","Pausado por dependencia"
"30577","30577","DEPORTES BLANES","DEPORTES BLANES","212.230.210.95","212.230.210.95","Blanes Joven (Almería)","Blanes Joven (Almería)","","","Disponible","3","","","30537","30537","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","Blanes Joven (Almería)","Blanes Joven (Almería)","","OK"
"30740","30740","HURCHILLO-Orihuela","HURCHILLO-Orihuela","212.231.2.173","212.231.2.173","AGW_ORI_01","AGW_ORI_01","","","Disponible","3","","","43173","43173","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","AGW_ORI_01","AGW_ORI_01","","OK"
"30756","30756","ZARANDONA PPAL","ZARANDONA PPAL","212.231.2.101","212.231.2.101","r265000_ZarandonaTv_PPAL","r265000_ZarandonaTv_PPAL","","","Disponible","3","","","64982","64982","","649205221;693370010;691918799;610714120;607191670;619253203;693925979","Aparato","device","r265000_ZarandonaTv_PPAL","r265000_ZarandonaTv_PPAL","","OK"
"32743","32743","T92","T92","212.231.2.201","212.231.2.201","227000_T92","227000_T92","","","Disponible","3","","","36926","36926","","615912516;693370010;691918799;610714120;607191670;619253203;693925979","Aparato","device","227000_T92","227000_T92","","OK"
"32755","32755","HURCHILLO-Orihuela","HURCHILLO-Orihuela","10.97.10.240","10.97.10.240","270000_TVBenejuzar_BCKP","270000_TVBenejuzar_BCKP","","","Pausado","8","","","43173","43173","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","270000_TVBenejuzar_BCKP","270000_TVBenejuzar_BCKP","","Pausado por dependencia"
"32833","32833","IDL_CARREFOUR","IDL_CARREFOUR","212.230.160.125","212.230.160.125","IDL_CAD Miralcampo_Carrefour_ppal","IDL_CAD Miralcampo_Carrefour_ppal","","","Pausado","8","","","43628","43628","","Avenida De la Construccion 6 y 8 Azuqueca de Henares. 19200. Guadalajara","Aparato","device","IDL_CAD Miralcampo_Carrefour_ppal","IDL_CAD Miralcampo_Carrefour_ppal","","Pausado por dependencia"
"32880","32880","TV MAZARRON","TV MAZARRON","10.97.1.253","10.97.1.253","rou_216135_TV_Mazarron","rou_216135_TV_Mazarron","","","Pausado","8","","","66551","66551","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","rou_216135_TV_Mazarron","rou_216135_TV_Mazarron","","Pausado por dependencia"
"33000","33000","TRANSCOM","TRANSCOM","212.230.164.233","212.230.164.233","Transcom_Atica_VPN (BGP con S. Fernando)","Transcom_Atica_VPN (BGP con S. Fernando)","","","Disponible","3","","","32980","32980","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","Transcom_Atica_VPN (BGP con S. Fernando)","Transcom_Atica_VPN (BGP con S. Fernando)","","OK"
"33002","33002","TRANSCOM","TRANSCOM","212.230.164.249","212.230.164.249","Transcom_San Fernando","Transcom_San Fernando","","","Disponible","3","","","32980","32980","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","Transcom_San Fernando","Transcom_San Fernando","","OK"
"33028","33028","cableop Entice","cableop Entice","159.20.120.4","159.20.120.4","NOSTRACOM_216100","NOSTRACOM_216100","","","Disponible","3","","","33026","33026","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","NOSTRACOM_216100","NOSTRACOM_216100","","OK"
"33031","33031","cableop Kamailio","cableop Kamailio","84.232.72.6","84.232.72.6","CARTAGOSAT_222000","CARTAGOSAT_222000","","","Pausado (pausado)","7","","","33027","33027","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","CARTAGOSAT_222000","CARTAGOSAT_222000","","[[ . (pausado a las 12/12/2013 17:52:18 por Cruz Antonio Perez) ]]: Pausado por usuario"
"33035","33035","cableop Entice","cableop Entice","176.100.208.21","176.100.208.21","CABLEOPERADOR_YECLA2_293000","CABLEOPERADOR_YECLA2_293000","","","Disponible","3","","","33026","33026","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","CABLEOPERADOR_YECLA2_293000","CABLEOPERADOR_YECLA2_293000","","OK"
"33039","33039","cableop Entice","cableop Entice","178.156.15.244","178.156.15.244","CABLEOPERADOR_MORON_C215015","CABLEOPERADOR_MORON_C215015","","","Disponible","3","","","33026","33026","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","CABLEOPERADOR_MORON_C215015","CABLEOPERADOR_MORON_C215015","","OK"
"33042","33042","cableop Entice","cableop Entice","178.156.4.244","178.156.4.244","CABLEOPERADOR_MARCHENA_215013","CABLEOPERADOR_MARCHENA_215013","","","Pausado (pausado)","7","","","33026","33026","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","CABLEOPERADOR_MARCHENA_215013","CABLEOPERADOR_MARCHENA_215013","","[[ . (pausado a las 12/03/2014 17:09:43 por Cruz Antonio Perez) ]]: Pausado por usuario"
"33045","33045","cableop Entice","cableop Entice","178.156.7.244","178.156.7.244","CABLEOPERADOR_LA_PUEBLA_215014","CABLEOPERADOR_LA_PUEBLA_215014","","","Pausado (pausado)","7","","","33026","33026","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","CABLEOPERADOR_LA_PUEBLA_215014","CABLEOPERADOR_LA_PUEBLA_215014","","[[ . (pausado a las 12/03/2014 17:09:55 por Cruz Antonio Perez) ]]: Pausado por usuario"
"33048","33048","cableop Entice","cableop Entice","178.156.79.243","178.156.79.243","RUSCABLE_216060","RUSCABLE_216060","","","Disponible","3","","","33026","33026","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","RUSCABLE_216060","RUSCABLE_216060","","OK"
"33051","33051","cableop Entice","cableop Entice","178.239.248.2","178.239.248.2","CABLEOPERADOR_PILAR_216087","CABLEOPERADOR_PILAR_216087","","","Disponible","3","","","33026","33026","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","CABLEOPERADOR_PILAR_216087","CABLEOPERADOR_PILAR_216087","","OK"
"33054","33054","cableop Entice","cableop Entice","37.152.128.2","37.152.128.2","TORRE TV ANTENA _216038","TORRE TV ANTENA _216038","","","Disponible","3","","","33026","33026","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","TORRE TV ANTENA _216038","TORRE TV ANTENA _216038","","OK"
"33057","33057","cableop Entice","cableop Entice","46.16.169.142","46.16.169.142","EURONA_323064_1","EURONA_323064_1","","","Disponible","3","","","33026","33026","","34610035946;34607191670","Aparato","device","EURONA_323064_1","EURONA_323064_1","","OK"
"33060","33060","cableop Entice","cableop Entice","46.16.169.143","46.16.169.143","EURONA_323064_2","EURONA_323064_2","","","Disponible","3","","","33026","33026","","34610035946","Aparato","device","EURONA_323064_2","EURONA_323064_2","","OK"
"33063","33063","cableop Entice","cableop Entice","46.16.169.180","46.16.169.180","EURONA_323064_3","EURONA_323064_3","","","Disponible","3","","","33026","33026","","34670412168;34610035946","Aparato","device","EURONA_323064_3","EURONA_323064_3","","OK"
"33066","33066","cableop Entice","cableop Entice","46.35.111.133","46.35.111.133","CABLEOPERADOR_CABLEMEL_216049","CABLEOPERADOR_CABLEMEL_216049","","","Pausado (pausado)","7","","","33026","33026","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","CABLEOPERADOR_CABLEMEL_216049","CABLEOPERADOR_CABLEMEL_216049","","[[ . (pausado a las 12/03/2014 17:10:08 por Cruz Antonio Perez) ]]: Pausado por usuario"
"33069","33069","cableop Entice","cableop Entice","62.15.200.4","62.15.200.4","ENSINCA _216058","ENSINCA _216058","","","Pausado (pausado)","7","","","33026","33026","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","ENSINCA _216058","ENSINCA _216058","","[[ En tratamiento (pausado a las 19/05/2014 18:24:48 por Cruz Antonio Perez) ]]: Pausado por usuario"
"33072","33072","cableop Entice","cableop Entice","62.82.223.27","62.82.223.27","HNOS_PONCE_215078","HNOS_PONCE_215078","","","Disponible","3","","","33026","33026","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","HNOS_PONCE_215078","HNOS_PONCE_215078","","OK"
"33075","33075","cableop Entice","cableop Entice","62.82.24.171","62.82.24.171","TV CABLE_PONCE_295000","TV CABLE_PONCE_295000","","","Disponible","3","","","33026","33026","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","TV CABLE_PONCE_295000","TV CABLE_PONCE_295000","","OK"
"33079","33079","cableop Entice","cableop Entice","80.253.192.13","80.253.192.13","BROADBAND_COSTABLANCA_246000","BROADBAND_COSTABLANCA_246000","","","Disponible","3","","","33026","33026","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","BROADBAND_COSTABLANCA_246000","BROADBAND_COSTABLANCA_246000","","OK"
"33082","33082","cableop Entice","cableop Entice","80.253.192.14","80.253.192.14","BROADBAND_COSTABLANCA_246000_1","BROADBAND_COSTABLANCA_246000_1","","","Disponible","3","","","33026","33026","","34610035946;34690870099","Aparato","device","BROADBAND_COSTABLANCA_246000_1","BROADBAND_COSTABLANCA_246000_1","","OK"
"33085","33085","cableop Entice","cableop Entice","84.124.12.249","84.124.12.249","SANTIAGO_ARENOS7_216000","SANTIAGO_ARENOS7_216000","","","Disponible","3","","","33026","33026","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","SANTIAGO_ARENOS7_216000","SANTIAGO_ARENOS7_216000","","OK"
"33088","33088","cableop Entice","cableop Entice","84.124.12.252","84.124.12.252","SANTIAGO_ARENOS6_216000_1","SANTIAGO_ARENOS6_216000_1","","","Disponible","3","","","33026","33026","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","SANTIAGO_ARENOS6_216000_1","SANTIAGO_ARENOS6_216000_1","","OK"
"33091","33091","cableop Entice","cableop Entice","84.232.113.11","84.232.113.11","CABLEOPERADOR_ANDEVALOTV_275000","CABLEOPERADOR_ANDEVALOTV_275000","","","Pausado (pausado)","7","","","33026","33026","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","CABLEOPERADOR_ANDEVALOTV_275000","CABLEOPERADOR_ANDEVALOTV_275000","","[[ pausado a las 12/03/2014 17:10:23 por Cruz Antonio Perez ]]: Pausado por usuario"
"33094","33094","cableop Entice","cableop Entice","84.232.113.131","84.232.113.131","CABLEOPERADOR_AZNALCAZAR_215054","CABLEOPERADOR_AZNALCAZAR_215054","","","Pausado (pausado)","7","","","33026","33026","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","CABLEOPERADOR_AZNALCAZAR_215054","CABLEOPERADOR_AZNALCAZAR_215054","","[[ . (pausado a las 12/03/2014 17:10:40 por Cruz Antonio Perez) ]]: Pausado por usuario"
"33097","33097","cableop Entice","cableop Entice","84.232.18.10","84.232.18.10","CABLEOPERADOR_TVCBLANCA_C215002","CABLEOPERADOR_TVCBLANCA_C215002","","","Disponible","3","","","33026","33026","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","CABLEOPERADOR_TVCBLANCA_C215002","CABLEOPERADOR_TVCBLANCA_C215002","","OK"
"33100","33100","cableop Entice","cableop Entice","84.232.50.2","84.232.50.2","CABLEOPERADOR_VIRSON_C281000","CABLEOPERADOR_VIRSON_C281000","","","Disponible","3","","","33026","33026","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","CABLEOPERADOR_VIRSON_C281000","CABLEOPERADOR_VIRSON_C281000","","OK"
"33103","33103","cableop Entice","cableop Entice","84.232.51.142","84.232.51.142","CABLEOPERADOR_TELEBULLAS_216018","CABLEOPERADOR_TELEBULLAS_216018","","","Disponible","3","","","33026","33026","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","CABLEOPERADOR_TELEBULLAS_216018","CABLEOPERADOR_TELEBULLAS_216018","","OK"
"33106","33106","cableop Entice","cableop Entice","84.232.73.132","84.232.73.132","CABLEOPERADOR_CABEZO_216085","CABLEOPERADOR_CABEZO_216085","","","Pausado (pausado)","7","","","33026","33026","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","CABLEOPERADOR_CABEZO_216085","CABLEOPERADOR_CABEZO_216085","","[[ baja circuto (pausado a las 23/10/2014 19:08:11 por SATBCN) ]]: Pausado por usuario"
"33109","33109","cableop Entice","cableop Entice","84.232.73.141","84.232.73.141","CABLEOPERADOR_CABEZO_240000","CABLEOPERADOR_CABEZO_240000","","","Pausado (pausado)","7","","","33026","33026","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","CABLEOPERADOR_CABEZO_240000","CABLEOPERADOR_CABEZO_240000","","[[ baja circuito (pausado a las 23/10/2014 19:08:33 por SATBCN) ]]: Pausado por usuario"
"33112","33112","cableop Entice","cableop Entice","84.232.73.195","84.232.73.195","CABLEOPERADOR_ZARANDONA_C265000","CABLEOPERADOR_ZARANDONA_C265000","","","Disponible","3","","","33026","33026","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","CABLEOPERADOR_ZARANDONA_C265000","CABLEOPERADOR_ZARANDONA_C265000","","OK"
"33116","33116","cableop Entice","cableop Entice","84.232.79.178","84.232.79.178","CABLEOPERADOR_BENEJUZAR_C270000","CABLEOPERADOR_BENEJUZAR_C270000","","","Disponible","3","","","33026","33026","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","CABLEOPERADOR_BENEJUZAR_C270000","CABLEOPERADOR_BENEJUZAR_C270000","","OK"
"33119","33119","cableop Entice","cableop Entice","84.232.79.242","84.232.79.242","CABLEOPERADOR_CANAL_TV_C215005","CABLEOPERADOR_CANAL_TV_C215005","","","Pausado (pausado)","7","","","33026","33026","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","CABLEOPERADOR_CANAL_TV_C215005","CABLEOPERADOR_CANAL_TV_C215005","","[[ . (pausado a las 24/03/2014 20:00:49 por Cruz Antonio Perez) ]]: Pausado por usuario"
"33122","33122","cableop Entice","cableop Entice","84.236.142.201","84.236.142.201","ONLYCABLE_AGUILAS_216107","ONLYCABLE_AGUILAS_216107","","","Disponible","3","","","33026","33026","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","ONLYCABLE_AGUILAS_216107","ONLYCABLE_AGUILAS_216107","","OK"
"33125","33125","cableop Entice","cableop Entice","88.148.103.68","88.148.103.68","CABLEOPERADOR_DONJIMENO_215066","CABLEOPERADOR_DONJIMENO_215066","","","Pausado (pausado)","7","","","33026","33026","","via de las dos castillas 33, pozuelo de alarcon","Aparato","device","CABLEOPERADOR_DONJIMENO_215066","CABLEOPERADOR_DONJIMENO_215066","","[[ pausado a las 11/09/2016 12:10:16 por Fausto Moreno ]]: Pausado por usuario"
